PRIMARY_ID,BioSample,BioProject,SRA_ID
SRX14498307,SAMN03283347,PRJNA731524,SRA1386480
SRX14498306,SAMN03283347,PRJNA731524,SRA1386480
SRX14498305,SAMN03283347,PRJNA731524,SRA1386480
SRX14498304,SAMN03283347,PRJNA731524,SRA1386480
SRX14498303,SAMN03283347,PRJNA731524,SRA1386480
SRX14498302,SAMN03283347,PRJNA731524,SRA1386480
SRX14498301,SAMN03283347,PRJNA731524,SRA1386480
SRX14498300,SAMN03283347,PRJNA731524,SRA1386480
SRX14498299,SAMN03283347,PRJNA731524,SRA1386480
SRX14498298,SAMN03283347,PRJNA731524,SRA1386480
SRX14498297,SAMN03283347,PRJNA731524,SRA1386480
SRX14498296,SAMN03283347,PRJNA731524,SRA1386480
SRX14498295,SAMN03283347,PRJNA731524,SRA1386480
SRX14495331,SAMN03283347,PRJNA731524,SRA1386878
SRX14493538,SAMN03283347,PRJNA731524,SRA1386876
SRX14493537,SAMN03283347,PRJNA731524,SRA1386876
SRX14491041,SAMN03283347,PRJNA731524,SRA1386483
SRX14491040,SAMN03283347,PRJNA731524,SRA1386483
SRX14387788,SAMN03283347,PRJNA813010,SRA1381449
SRX14387787,SAMN03283347,PRJNA813010,SRA1381449
SRX14386327,SAMN03283347,PRJNA813010,SRA1381397
SRX14386326,SAMN03283347,PRJNA813010,SRA1381397
SRX14380450,SAMN03283347,PRJNA813010,SRA1381276
SRX14380449,SAMN03283347,PRJNA813010,SRA1381276
SRX14380448,SAMN03283347,PRJNA813010,SRA1381276
SRX14380447,SAMN03283347,PRJNA813010,SRA1381276
SRX14226557,SAMN03283347,PRJNA200694,SRA1374736
SRX14137970,SAMN03283347,PRJNA752795,SRA1369840
SRX14137770,SAMN03255769,PRJNA559484,SRA1369843
SRX14137769,SAMN03255769,PRJNA559484,SRA1369843
SRX14137768,SAMN03255769,PRJNA559484,SRA1369843
SRX14137767,SAMN03255769,PRJNA559484,SRA1369843
SRX14137766,SAMN03255769,PRJNA559484,SRA1369843
SRX14137765,SAMN03255769,PRJNA559484,SRA1369843
SRX13462277,SAMN03283347,PRJNA788182,SRA1341943
SRX13462276,SAMN03283347,PRJNA788182,SRA1341943
SRX13462275,SAMN03283347,PRJNA788182,SRA1341943
SRX13462274,SAMN03283347,PRJNA788182,SRA1341943
SRX13462273,SAMN03283347,PRJNA788182,SRA1341943
SRX13462272,SAMN03283347,PRJNA788182,SRA1341943
SRX12200334,SAMN03283347,PRJNA200694,SRA1295201
SRX11698074,SAMN03283347,PRJNA752795,SRA1273067
SRX11698073,SAMN03283347,PRJNA752795,SRA1273067
SRX11698072,SAMN03283347,PRJNA752795,SRA1273067
SRX11698071,SAMN03283347,PRJNA752795,SRA1273067
SRX11698070,SAMN03283347,PRJNA752795,SRA1273067
SRX11698069,SAMN03255769,PRJNA559484,SRA1273065
SRX11698068,SAMN03255769,PRJNA559484,SRA1273065
SRX11698067,SAMN03255769,PRJNA559484,SRA1273065
SRX11698066,SAMN03255769,PRJNA559484,SRA1273065
SRX11698065,SAMN03255769,PRJNA559484,SRA1273065
SRX11698064,SAMN03255769,PRJNA559484,SRA1273065
SRX11698063,SAMN03255769,PRJNA559484,SRA1273065
SRX11364664,SAMN03255769,PRJNA559484,SRA1255332
SRX11364663,SAMN03255769,PRJNA559484,SRA1255332
SRX11346957,SAMN03255769,PRJNA559484,SRA1254311
SRX11346956,SAMN03255769,PRJNA559484,SRA1254311
SRX11346955,SAMN03255769,PRJNA559484,SRA1254311
SRX11346954,SAMN03255769,PRJNA559484,SRA1254311
SRX9363417,SAMN03283347,PRJNA200694,SRA1100085
SRX9363406,SAMN03283347,PRJNA200694,SRA1100085
SRX9363395,SAMN03283347,PRJNA200694,SRA1100085
SRX9363384,SAMN03283347,PRJNA200694,SRA1100085
SRX9363374,SAMN03283347,PRJNA200694,SRA1100085
SRX9363373,SAMN03283347,PRJNA200694,SRA1100085
SRX9363372,SAMN03283347,PRJNA200694,SRA1100085
SRX9363371,SAMN03283347,PRJNA200694,SRA1100085
SRX9363370,SAMN03283347,PRJNA200694,SRA1100085
SRX9363369,SAMN03283347,PRJNA200694,SRA1100085
SRX9363368,SAMN03283347,PRJNA200694,SRA1100085
SRX9363367,SAMN03283347,PRJNA200694,SRA1100085
SRX9363366,SAMN03283347,PRJNA200694,SRA1100085
SRX9363365,SAMN03283347,PRJNA200694,SRA1100085
SRX9363364,SAMN03283347,PRJNA200694,SRA1100085
SRX9363363,SAMN03283347,PRJNA200694,SRA1100085
SRX9363362,SAMN03283347,PRJNA200694,SRA1100085
SRX9363361,SAMN03283347,PRJNA200694,SRA1100085
SRX9363360,SAMN03283347,PRJNA200694,SRA1100085
SRX9363359,SAMN03283347,PRJNA200694,SRA1100085
